廣韻字頭原貌(覈校前),廣韻字頭(覈校後),廣韻釋義,釋義補充,聲紐,呼,等,廣韻韻部原貌(調整前),聲調,組,攝
罿,罿,車上網又音衝,,定,開,一,東,平,端,通
犝,犝,犝牛無角,,定,開,一,東,平,端,通
筩,筩,竹筩,,定,開,一,東,平,端,通
潼,潼,水名出廣漢郡亦關名又通衝二音,,定,開,一,東,平,端,通
曈,曈,曈曨日欲明也又他孔切,,定,開,一,東,平,端,通
洞,洞,洪洞縣名在晉州北又徒弄切,,定,開,一,東,平,端,通
侗,侗,楊子法言云倥侗顓蒙,,定,開,一,東,平,端,通
橦,橦,木名花可爲布出字書又鍾幢二音,,定,開,一,東,平,端,通
烔,烔,熱氣烔烔出字林,,定,開,一,東,平,端,通
䴀,䴀,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欣期交州記,,定,開,一,東,平,端,通
挏,挏,引也漢官名有挏馬又音動,,定,開,一,東,平,端,通
酮,酮,馬酪又音動,,定,開,一,東,平,端,通
鮦,鮦,爾雅云鰹大鮦又直冢直柳二切,,定,開,一,東,平,端,通
㼿,㼿,井甓一云甃也,,定,開,一,東,平,端,通
𦏆,𦏆,無角羊,,定,開,一,東,平,端,通
𦍻,𦍻,上同,無角羊,定,開,一,東,平,端,通
眮,眮,目眶又徒摠切,,定,開,一,東,平,端,通
蕫,蕫,草名又多動切,,定,開,一,東,平,端,通
穜,穜,穜稑先種後熟謂之穜後種先熟謂之稑又音重,,定,開,一,東,平,端,通
衕,衕,通街也,,定,開,一,東,平,端,通
𩍅,𩍅,靫具飾也,,定,開,一,東,平,端,通
𢈉,𢈉,地下應聲,,定,開,一,東,平,端,通
䆚,䆚,通䆚也,,定,開,一,東,平,端,通
哃,哃,哃𠹔大言,,定,開,一,東,平,端,通
𢏕,𢏕,弓飾,,定,開,一,東,平,端,通
絧,絧,布名,,定,開,一,東,平,端,通
𨚯,𨚯,鄉名,,定,開,一,東,平,端,通
𨝯,𨝯,地名又姓,,定,開,一,東,平,端,通
𪔝,𪔜,鼓聲,,定,開,一,東,平,端,通
𩦶,𩦶,黑虎,,定,開,一,東,平,端,通
𪒿,𪒿,黑皃,,定,開,一,東,平,端,通
中,中,平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四,,知,開,三,東,平,知,通
衷,衷,善也正也適也中也又衷衣褻衣也,,知,開,三,東,平,知,通
忠,忠,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州,,知,開,三,東,平,知,通
𦬕,𦬕,草名又音沖,,知,開,三,東,平,知,通
蟲,蟲,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七,,澄,開,三,東,平,知,通
沖,沖,和也深也,,澄,開,三,東,平,知,通
种,种,稚也或作沖亦姓後漢司徒河南种暠,,澄,開,三,東,平,知,通
盅,盅,器虛也又敕中切,,澄,開,三,東,平,知,通
爞,爞,爾雅云爞爞炎炎熏也,,澄,開,三,東,平,知,通
𦬕,𦬕,草名又音中,,澄,開,三,東,平,知,通
翀,翀,直上飛也,,澄,開,三,東,平,知,通
終,終,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,,章,開,三,東,平,章,通
衆,眾,又之仲切,,章,開,三,東,平,章,通
潨,潀,小水入大水又徂紅在冬二切,,章,開,三,東,平,章,通
𣧩,𣧩,歿也,,章,開,三,東,平,章,通
螽,螽,螽斯蟲也,,章,開,三,東,平,章,通
𧑄,𧑄,上同,螽斯蟲也,章,開,三,東,平,章,通
鼨,鼨,豹文鼠也,,章,開,三,東,平,章,通
蔠,蔠,蔠葵蘩露也,,章,開,三,東,平,章,通
柊,柊,木名又齊人謂椎爲柊楑也,,章,開,三,東,平,章,通
𩅧,𩅧,小雨,,章,開,三,東,平,章,通
䶱,䶱,字書云龜名也,,章,開,三,東,平,章,通
鴤,鴤,鳥名,,章,開,三,東,平,章,通
䈺,䈺,篋䈺戎人呼之,,章,開,三,東,平,章,通
泈,泈,水名在襄陽,,章,開,三,東,平,章,通
䝦,䝦,獸如豹,,章,開,三,東,平,章,通
忡,忡,憂也敕中切三,,徹,開,三,東,平,知,通
浺,浺,浺瀜水平遠之皃又音蟲,,徹,開,三,東,平,知,通
盅,盅,器虛也又音蟲,,徹,開,三,東,平,知,通
崇,崇,高也敬也就也聚也又姓鋤弓切四,,崇,開,三,東,平,莊,通
崈,崈,上同,高也敬也就也聚也又姓鋤弓切四,崇,開,三,東,平,莊,通
㓽,㓽,鍤屬,,崇,開,三,東,平,莊,通
𩞉,𩞉,饞𩞉貪食也出古今字音,,崇,開,三,東,平,莊,通
嵩,嵩,山高也又山名又姓史記有嵩極玄子或作崧息弓切九,,心,開,三,東,平,精,通
崧,崧,上同,山高也又山名又姓史記有嵩極玄子或作崧息弓切九,心,開,三,東,平,精,通
𪀚,𪀚,似鷹而小能捕雀也,,心,開,三,東,平,精,通
娀,娀,有娀氏女簡狄帝嚳次妃吞乙卵生契,,心,開,三,東,平,精,通
菘,菘,菜名,,心,開,三,東,平,精,通
硹,硹,地名在遼,,心,開,三,東,平,精,通
㣝,㣝,姓也,,心,開,三,東,平,精,通
𧊕,𧊕,蟲名,,心,開,三,東,平,精,通
䯷,䯷,細毛,,心,開,三,東,平,精,通
戎,戎,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,,日,開,三,東,平,日,通
𢦦,𢦦,上同,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,日,開,三,東,平,日,通
茙,茙,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也,,日,開,三,東,平,日,通
㭜,㭜,木名,,日,開,三,東,平,日,通
駥,駥,馬八尺也,,日,開,三,東,平,日,通
𥬪,𥬪,小竹可爲矢,,日,開,三,東,平,日,通
𠈋,𠈋,𠈋人身有三角也,,日,開,三,東,平,日,通
狨,狨,細布,,日,開,三,東,平,日,通
絨,絨,上同,細布,日,開,三,東,平,日,通
弓,弓,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六,,見,開,三,東,平,見,通
躳,躳,身也親也又姓出姓苑,,見,開,三,東,平,見,通
躬,躬,上同,身也親也又姓出姓苑,見,開,三,東,平,見,通
㴦,㴦,縣名在酒泉,,見,開,三,東,平,見,通
宫,宮,白虎通曰黃帝作宮室以避寒暑宮之言中也世本曰禹作宮亦官名漢書曰少府官有守宮令主御筆墨紙封書泥也又姓左傳虞有宮之奇,,見,開,三,東,平,見,通
匑,匑,謹敬之皃又音穹,,見,開,三,東,平,見,通
融,融,和也朗也說文曰炊气上出也又姓世本云古天子祝融之後以戎切四,,以,開,三,東,平,以,通
肜,肜,祭名又敕林切,,以,開,三,東,平,以,通
瀜,瀜,沖瀜大水皃,,以,開,三,東,平,以,通
雄,雄,雄雌也亦姓舜友有雄陶羽弓切二,,云,開,三,東,平,影,通
熊,熊,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊宜僚又漢複姓左傳楚大夫熊率且比,,云,開,三,東,平,影,通
瞢,瞢,目不明莫中切六,,明,合,三,東,平,幫,通
夢,夢,說文曰不明也又武仲切,,明,合,三,東,平,幫,通
𨞯,鄸,邑名在曹郡,,明,合,三,東,平,幫,通
懜,懜,慙也國語云君使臣懜,,明,合,三,東,平,幫,通
𦫰,𦫰,𦫰𦫰醜皃,,明,合,三,東,平,幫,通
𧲎,𧲎,獸似豕目在耳出崐崘,,明,合,三,東,平,幫,通
穹,穹,高也去宮切七,,溪,開,三,東,平,見,通
𢞏,𢞏,憂也,,溪,開,三,東,平,見,通
焪,焪,乾也,,溪,開,三,東,平,見,通
芎,芎,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,,溪,開,三,東,平,見,通
𦵡,𦵡,上同,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,溪,開,三,東,平,見,通
匑,匑,謹敬之皃,,溪,開,三,東,平,見,通
𥳎,𥳎,𥳎籠也又去龍切,,溪,開,三,東,平,見,通
窮,窮,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三,,群,開,三,東,平,見,通
藭,藭,芎藭,,群,開,三,東,平,見,通
𥨪,𥨪,羿所封國,,群,開,三,東,平,見,通
馮,馮,馮翊郡名又姓畢公高之伸食采於馮城因而命氏出杜陵乃長樂房戎切七,,並,合,三,東,平,幫,通
堸,堸,蟲室,,並,合,三,東,平,幫,通
汎,汎,浮也又孚劒切,,並,合,三,東,平,幫,通
芃,芃,草盛也又音蓬,,並,合,三,東,平,幫,通
𨝭,𨝭,姬姓之國,,並,合,三,東,平,幫,通
渢,渢,弘大聲也,,並,合,三,東,平,幫,通
梵,梵,木得風皃又防泛切,,並,合,三,東,平,幫,通
風,風,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七,,幫,合,三,東,平,幫,通
飌,飌,古文,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七,幫,合,三,東,平,幫,通
楓,楓,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝高三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄,,幫,合,三,東,平,幫,通
猦,猦,猦母狀如猿逢人則叩頭小打便死得風還活出異物志,,幫,合,三,東,平,幫,通
偑,偑,地名,,幫,合,三,東,平,幫,通
檒,檒,檒梵聲也,,幫,合,三,東,平,幫,通
𧆉,𧆉,竹名出南海,,幫,合,三,東,平,幫,通
豐,豐,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷空切八,,滂,合,三,東,平,幫,通
酆,酆,邑名亦姓左傳有狄相酆舒,,滂,合,三,東,平,幫,通
蘴,蘴,蕪菁苗也,,滂,合,三,東,平,幫,通
灃,灃,水名在咸陽,,滂,合,三,東,平,幫,通
寷,寷,大屋,,滂,合,三,東,平,幫,通
麷,麷,煑麥,,滂,合,三,東,平,幫,通
㒥,㒥,偓㒥仙人,,滂,合,三,東,平,幫,通
㠦,㠦,山名,,滂,合,三,東,平,幫,通
充,充,美也塞也行也滿也昌終切七,,昌,開,三,東,平,章,通
珫,珫,珫耳玉名詩傳云充耳謂之瑱字俗從玉,,昌,開,三,東,平,章,通
茺,茺,茺蔚草也,,昌,開,三,東,平,章,通
㤝,㤝,心動,,昌,開,三,東,平,章,通
䘪,䘪,䘪襌衣也,,昌,開,三,東,平,章,通
𪎽,𪎽,黃色又音統,,昌,開,三,東,平,章,通
㳘,㳘,水聲,,昌,開,三,東,平,章,通
隆,隆,盛也豐也大也力中切六,,來,開,三,東,平,來,通
癃,癃,病也亦作𤸇,,來,開,三,東,平,來,通
𪔳,𪔳,鼓聲俗作𪔴,,來,開,三,東,平,來,通
窿,窿,穹隆天勢俗加穴,,來,開,三,東,平,來,通
霳,霳,豐隆雷師俗加雨,,來,開,三,東,平,來,通
㚅,㚅,多㚅礼天,,來,開,三,東,平,來,通
空,空,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四,,溪,開,一,東,平,見,通
箜,箜,箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也,,溪,開,一,東,平,見,通
崆,崆,崆峒,,溪,開,一,東,平,見,通
椌,椌,器物朴也又丘江切,,溪,開,一,東,平,見,通
硿,硿,硿青色石也,,溪,開,一,東,平,見,通
䅝,䅝,稻稈,,溪,開,一,東,平,見,通
悾,悾,悾悾信也愨也,,溪,開,一,東,平,見,通
埪,埪,土埪龕也,,溪,開,一,東,平,見,通
倥,倥,倥侗,,溪,開,一,東,平,見,通
涳,涳,涳濛小雨又口江切,,溪,開,一,東,平,見,通
鵼,鵼,怪鳥出字統,,溪,開,一,東,平,見,通
𦱇,𦱇,𦱇心草也,,溪,開,一,東,平,見,通
𢃐,𢃐,衣袂,,溪,開,一,東,平,見,通
𧌆,𧌆,蟬脫𧌆皮,,溪,開,一,東,平,見,通
公,公,通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何藐公父歜公賓庚公思展公鉏極公甲叔子費宰公山弗櫌公甲叔公巫召伯衛有公文要戰國策齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公慎氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙錄有大中大夫公帥式子夏門人齊人公羊高作春秋傳列女傳有公乘之姒墨子魯有公輸班衛大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今高平人衛大夫公南文子魯有公荊皎衛大夫公子荊之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱高宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後呂氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰別傳有渤海公族進階衛大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世鄉秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今高平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衛有庾公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衛有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉世本有大公叔穎又有公紀氏衛有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三,,見,開,一,東,平,見,通
功,功,功績也說文曰以勞定國曰功又漢複姓何氏姓苑云漢營陵令成功恢禹治水告成功後爲氏俗作㓛,,見,開,一,東,平,見,通
工,工,官也又工巧也,,見,開,一,東,平,見,通
疘,疘,文字集略云脫疘下部病也,,見,開,一,東,平,見,通
蚣,蚣,蜈蚣蟲,,見,開,一,東,平,見,通
玒,玒,王名又音江,,見,開,一,東,平,見,通
釭,釭,車釭說文曰車轂中鐵也又古雙切,,見,開,一,東,平,見,通
魟,魟,䱑魟江蟲形似蟹可食又音烘,,見,開,一,東,平,見,通
攻,攻,攻擊,,見,開,一,東,平,見,通
㓚,㓚,銍穫也,,見,開,一,東,平,見,通
愩,愩,憒也,,見,開,一,東,平,見,通
碽,碽,擊聲,,見,開,一,東,平,見,通
篢,篢,篢笠方言,,見,開,一,東,平,見,通
蒙,蒙,覆也奄也爾雅釋草曰蒙王女也莫紅切二十七,,明,開,一,東,平,幫,通
冡,冡,說文覆也,,明,開,一,東,平,幫,通
濛,濛,涳濛細雨,,明,開,一,東,平,幫,通
𩦺,𩦺,驢子曰𩦺,,明,開,一,東,平,幫,通
艨,艨,艨艟戰船又武用切,,明,開,一,東,平,幫,通
䑃,䑃,大皃,,明,開,一,東,平,幫,通
矇,矇,矇瞽,,明,開,一,東,平,幫,通
饛,饛,盛食滿皃,,明,開,一,東,平,幫,通
䰒,䰒,馬垂鬣也,,明,開,一,東,平,幫,通
檬,檬,似槐華黃,,明,開,一,東,平,幫,通
𨢊,𨢊,麴生衣皃,,明,開,一,東,平,幫,通
䴿,䴿,上同,麴生衣皃,明,開,一,東,平,幫,通
𨣘,𨣘,亦上同,麴生衣皃,明,開,一,東,平,幫,通
鸏,鸏,鸏䴀鳥也,,明,開,一,東,平,幫,通
幪,幪,覆也蓋衣也又幪縠,,明,開,一,東,平,幫,通
罞,罞,爾雅曰麋罟謂之罞,,明,開,一,東,平,幫,通
𢄐,𢄐,說文云蓋衣也又莫弄切,,明,開,一,東,平,幫,通
髳,髳,爾雅釋詁曰覭髳茀離也,,明,開,一,東,平,幫,通
蠓,蠓,蠛蠓似蚊又莫孔切,,明,開,一,東,平,幫,通
𦿏,𦿏,草可爲帚,,明,開,一,東,平,幫,通
雺,雺,天氣下地不應曰雺又莫侯切,,明,開,一,東,平,幫,通
霿,霿,,天氣下地不應曰雺又莫侯切,明,開,一,東,平,幫,通
霚,霚,並上同,天氣下地不應曰雺又莫侯切,明,開,一,東,平,幫,通
朦,朦,朦朧月下,,明,開,一,東,平,幫,通
䀄,䀄,器滿,,明,開,一,東,平,幫,通
懜,懜,心悶闇也,,明,開,一,東,平,幫,通
靀,靀,小雨,,明,開,一,東,平,幫,通
籠,籠,西京雜記曰漢制天子以象牙爲火籠盧紅切又力董切二十七,,來,開,一,東,平,來,通
豅,豅,大谷,,來,開,一,東,平,來,通
㰍,㰍,說文云房室之疏也亦作櫳,,來,開,一,東,平,來,通
朧,朧,朦朧,,來,開,一,東,平,來,通
𡃡,𡃡,大聲,,來,開,一,東,平,來,通
龓,龓,馬龓頭,,來,開,一,東,平,來,通
䪊,䪊,上同,馬龓頭,來,開,一,東,平,來,通
瀧,瀧,瀧涷沾漬說文曰雨瀧瀧也,,來,開,一,東,平,來,通
聾,聾,耳聾左傳云不聽五聲之和曰聾釋名曰聾籠也如在蒙籠之內不可察也,,來,開,一,東,平,來,通
𨏠,𨏠,軸頭,,來,開,一,東,平,來,通
礱,礱,磨也,,來,開,一,東,平,來,通
䆍,䆍,禾病,,來,開,一,東,平,來,通
𪚗,𪚗,上同,禾病,來,開,一,東,平,來,通
嚨,嚨,喉嚨,,來,開,一,東,平,來,通
蘢,蘢,蘢古草名又音龍,,來,開,一,東,平,來,通
櫳,櫳,檻也養獸所也,,來,開,一,東,平,來,通
𤮨,𤮨,字書云築土𤮨穀,,來,開,一,東,平,來,通
巃,巃,巃嵸山皃嵸祖紅切又音竉摠,,來,開,一,東,平,來,通
襱,襱,襱裙,,來,開,一,東,平,來,通
𧙥,𧙥,上同,襱裙,來,開,一,東,平,來,通
瓏,瓏,玲瓏玉聲,,來,開,一,東,平,來,通
曨,曨,日欲出也,,來,開,一,東,平,來,通
鸗,鸗,鳥名,,來,開,一,東,平,來,通
𩟭,𩟭,𩟭餅,,來,開,一,東,平,來,通
蠪,蠪,蠪蛭如狐九尾虎爪音如小兒食人一名䗁蠪又爾雅曰蠪朾螘郭璞云赤駁蚍蜉,,來,開,一,東,平,來,通
㟅,㟅,崆㟅山皃,,來,開,一,東,平,來,通
屸,屸,山形,,來,開,一,東,平,來,通
洪,洪,大也亦姓共工氏之後本姓共氏後改爲洪氏戶公切二十二,,匣,開,一,東,平,影,通
鉷,鉷,弩牙,,匣,開,一,東,平,影,通
訌,訌,潰也詩曰蟊賊內訌,,匣,開,一,東,平,影,通
紅,紅,色也又姓,,匣,開,一,東,平,影,通
虹,虹,螮蝀也又古巷切,,匣,開,一,東,平,影,通
仜,仜,身肥大也,,匣,開,一,東,平,影,通
鴻,鴻,詩傳云大曰鴻小曰鴈又姓左傳衛大夫鴻聊魋,,匣,開,一,東,平,影,通
葒,葒,水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從艹,,匣,開,一,東,平,影,通
葓,葓,上同,水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從艹,匣,開,一,東,平,影,通
谼,谼,大壑又谼谷寺在相州,,匣,開,一,東,平,影,通
䉺,䉺,陳赤米也,,匣,開,一,東,平,影,通
烘,烘,字林云燎也又呼紅切,,匣,開,一,東,平,影,通
洚,洚,說文曰水不遵道一曰下也又戶冬下江二切,,匣,開,一,東,平,影,通
渱,渱,潰渱水沸湧也,,匣,開,一,東,平,影,通
𨹁,𨹁,從𨹁山名在雲南,,匣,開,一,東,平,影,通
魟,魟,魟白魚又音烘,,匣,開,一,東,平,影,通
䧆,䧆,坑也,,匣,開,一,東,平,影,通
䪦,䪦,大聲,,匣,開,一,東,平,影,通
𦏺,𦏺,飛聲,,匣,開,一,東,平,影,通
䫹,䫹,大風,,匣,開,一,東,平,影,通
𨾊,𨾊,鳥肥大𨾊唯然,,匣,開,一,東,平,影,通
叢,叢,聚也徂紅切五,,從,開,一,東,平,精,通
藂,藂,俗,聚也徂紅切五,從,開,一,東,平,精,通
䕺,䕺,草䕺生皃,,從,開,一,東,平,精,通
潨,潀,水會也,,從,開,一,東,平,精,通
𥵫,𥵫,籠𥵫取魚器俗,,從,開,一,東,平,精,通
翁,翁,老稱也亦鳥頸毛又姓漢書貨殖傳有翁伯販脂而傾縣邑烏紅切八,,影,開,一,東,平,影,通
螉,螉,蠮螉蟲名細𦝫𧒒也,,影,開,一,東,平,影,通
䱵,䱵,魚名,,影,開,一,東,平,影,通
蓊,蓊,蓊鬱草木盛皃又烏桶切,,影,開,一,東,平,影,通
䈵,䈵,竹盛皃,,影,開,一,東,平,影,通
䩺,䩺,吳人靴靿曰䩺,,影,開,一,東,平,影,通
㮬,㮬,水㮬子果名出南州,,影,開,一,東,平,影,通
𩔚,𩔚,頸毛也,,影,開,一,東,平,影,通
怱,悤,速也倉紅切十五,,清,開,一,東,平,精,通
忩,忩,俗,速也倉紅切十五,清,開,一,東,平,精,通
葱,蔥,葷菜,,清,開,一,東,平,精,通
楤,樬,尖頭擔也,,清,開,一,東,平,精,通
𨍉,䡯,轞車載囚,,清,開,一,東,平,精,通
聦,聰,聞也明也察也聽也殷仲堪父患耳聰聞牀下蟻動謂之牛鬬出晉書,,清,開,一,東,平,精,通
繱,𦇎,色青黃又細絹,,清,開,一,東,平,精,通
𤧚,璁,石似玉也,,清,開,一,東,平,精,通
騘,驄,馬青白雜色,,清,開,一,東,平,精,通
䗓,蟌,蜻蜓淮南子曰蝦蟆爲鶉水蠆爲蟌,,清,開,一,東,平,精,通
囪,囪,竈突,,清,開,一,東,平,精,通
𨣭,𨣼,𨣼𨢊濁酒,,清,開,一,東,平,精,通
鍯,鏓,大鑿平木器,,清,開,一,東,平,精,通
㷓,熜,熅也又子孔切,,清,開,一,東,平,精,通
𢉛,𢊕,屋階中會又子孔切,,清,開,一,東,平,精,通
通,通,達也三禮圖曰通天冠一名高山冠上之所服也亦州名本漢宕渠縣內有地萬餘頃因名爲萬州後魏以萬州居四達之路改爲通州又姓出姓苑他紅切九,,透,開,一,東,平,端,通
蓪,蓪,蓪草藥名中有小孔通氣,,透,開,一,東,平,端,通
侗,侗,大也,,透,開,一,東,平,端,通
恫,恫,痛也,,透,開,一,東,平,端,通
痌,痌,上同,痛也,透,開,一,東,平,端,通
曈,曈,曈曨欲明之皃,,透,開,一,東,平,端,通
俑,俑,俑偶人又音勇,,透,開,一,東,平,端,通
𧳆,𧳆,獸名似豕出泰山又音同,,透,開,一,東,平,端,通
𨀜,𨀜,走皃,,透,開,一,東,平,端,通
葼,葼,木細枝也子紅切二十一,,精,開,一,東,平,精,通
